bundle_file,node,type,role,say_index,japanese,korean
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,0,このプロジェクトには十数年という長い時間が費やされている。,이 프로젝트에는 십수 년이라는 긴 시간이 소요되었다.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,1,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,2,むしろ時間を費やしすぎている……,오히려 시간을 너무 많이 들이고 있지……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,3,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,4,プロジェクトの進捗の遅れは、彼らの能力不足や資源不足によるものではない。,"프로젝트 진행이 더딘 건, 그들의 능력 부족이나 자원 부족 때문이 아니다."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,5,この遅れは……,이 지연은……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,6,短見によるものだ。,근시안적 판단 때문이다.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,7,だから彼らには刺激が必要なのだ。スイとあなたの存在が彼らに刺激をもたらす。,그래서 그들에게는 자극이 필요한 것이다. 스이와 당신의 존재가 그들에게 자극을 가져다주지.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,0,万象に危機感を与えるために……,완샹에 위기감을 주기 위해서……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,1,俺たちを放任してたのか。,우리를 방치해뒀던 거였군.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,2,ハハ、まんまと利用されたってことだ。,"하, 완전히 이용당했다는 거네."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,8,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,3,スイ･ニンはここを爆破するつもりだったらしいが、その心配はしていなかったのか？,"스이닝은 여길 폭파할 생각이었던 모양인데, 그건 걱정 안 했나?"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,9,もし爆破されても、あなたなら、ここの全ての資料を競合相手のところに持っていったでしょ。,"설령 폭파됐더라도, 당신이라면, 여기 모든 자료를 경쟁사로 빼돌렸겠지."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,10,爆破されたとしても、万象は再建できる。,"폭파되더라도, 완샹은 재건할 수 있다."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,4,それでも万象が失敗したら？,그래도 완샹이 실패한다면?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,11,他の誰かが完成させる。,다른 누군가가 완성시킨다.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,12,それで十分だ。,그거면 충분해.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,5,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,6,……あんたは一体何が望みなんだ？,……당신은 대체 뭘 원하는 거지?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,13,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,14,ほとんどの者には理解できないだろうが……,대부분은 이해하지 못하겠지만……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,15,人類は皆、同じ目的を持って誕生する。,"인류는 모두, 같은 목적을 가지고 태어난다."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,16,我々は無限に広がるの時の中で、この問題に向き合ってきた。,"우리는 무한히 펼쳐진 시간 속에서, 이 문제와 마주해왔다."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,7,あんたらは意味のわからんことばかり言うな……,당신들은 알 수 없는 소리만 하는군……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,17,そうだろうか。,그럴까.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,18,本当はあなたも理解しているのでしょ？,사실은 당신도 이해하고 있잖아?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,8,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,9,最後に一つ聞く。なぜ俺の居場所がわかった？,마지막으로 하나만 묻지. 어떻게 내 위치를 알아냈지?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,19,あなたのことはよくわかっている。,당신에 대해선 잘 알고 있다.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,10,ハハハ、あんたの部下と同じこと言うのかよ……,"하하하, 당신 부하랑 똑같은 소릴 하는군……"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,キンセイ･ハク,11,まあいい。またな、祖母。,"뭐 됐어. 또 보지, 할머니."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第四組_祖母與白壁虎,Say,祖母,20,ええ、また。,"그래, 또 보자."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,0,結局、フクロウに入っちゃったね。,"결국, 부엉이에 들어갔네."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,0,入るべきじゃなかったか……？,들어가지 말았어야 했나……?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,1,フフッ、そんなことないよ！,"후훗, 그럴 리가!"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,2,ちょっと言ってみただけ。悪い意味で言ったわけじゃないの。,그냥 말해본 거야. 나쁜 뜻으로 한 말 아니야.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,1,俺は……,나는……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,2,リンを縛りたくない……,린을 얽매고 싶지 않아……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,3,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,4,ジェイ、何言ってるの！,"제이, 무슨 소리 하는 거야!"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,5,縛るなんて大げさよ！,얽맨다니 그건 과장이야!
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,3,だが……,하지만……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,6,私はジェイに縛られているなんて思ったことない。,난 제이한테 얽매여 있다고 생각한 적 없어.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,7,むしろ、ちょっとワクワクしてるくらいよ……,"오히려, 조금 설레는 정도야……"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,4,……？,……?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,8,何よ、その目は！,"뭐야, 그 눈빛은!"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,9,私、ちゃんとスイさんに言われたことを考えたの。,"나, 스이 씨가 한 말 제대로 생각해봤어."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,10,確かに、今の私たちには枷がかけられているけど……,"확실히, 지금 우리한테는 족쇄가 채워져 있지만……"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,11,代わりに力を手に入れたわ。,대신 힘을 얻었잖아.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,5,私たち？,우리?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,12,た、確かにフクロウに入ったのはジェイだけだけど、私たちは一心同体でしょ！,"화, 확실히 부엉이에 들어간 건 제이뿐이지만, 우리는 한마음 한몸이잖아!"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,13,あの傭兵が言った言葉、覚えてる？,"그 용병이 했던 말, 기억나?"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,6,……ホワイトリザードのことか？,……화이트 리저드 말이야?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,7,覚えてるよ。,기억나.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,14,彼はこう言ってたわ。,그 사람이 이렇게 말했었지.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,15,今のお前は自分で道を決められるはずだって……,지금의 넌 스스로 길을 정할 수 있을 거라고……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,8,それは俺を撹乱するために……,그건 날 흔들어놓으려고……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,16,でも、これは事実だと思う。,"근데, 이건 사실이라고 생각해."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,17,私たちは多く失った代わりに、多くのことを知った……,"우린 많은 걸 잃은 대신, 많은 걸 알게 됐어……"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,18,だから私たちには進むしかないのよ。,그러니까 우리는 나아갈 수밖에 없어.
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,9,……,……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,10,そうだな、一緒に進んでいこう。,"그래, 함께 나아가자."
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,19,うん、一緒に！,"응, 함께!"
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,11,じゃ…,그럼……
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,20,え？,어?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,12,あれ…？,어라……?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,リン･テイ,21,どうかしたの？,왜 그래?
scene_afterstory_scenes_finalerrortalk_walkthrough_3f07a05d6ca440ba1c1d435bd442c00e.bundle,第一組_加入鴞隊,Say,ジェイ･ダイ,13,いや、その…,"아니, 그게……"
