bundle_file,node,type,role,say_index,japanese,korean
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,0,用意できた？,준비 됐어?
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,1,私はいつでも行けるよ。,나는 언제든 갈 수 있어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,2,それとも私に何か話でもある？,아니면 나한테 무슨 할 얘기라도 있어?
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,0,大丈夫、行こう。,"괜찮아, 가자."
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,3,うん！,응!
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,1,なぜそんなことを聞くんだ？,왜 그런 걸 물어봐?
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,4,昨日、ジェイの帰りが遅かったでしょう？,"어제, 제이 늦게 들어왔잖아?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,5,何かあったのかなと思って……,무슨 일 있었나 싶어서……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,2,実は23号がずっと調査の妨害をしていたんだ。,실은 23호가 계속 조사를 방해하고 있었어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,6,えっ……！？,어……!?
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,7,ど、どういうこと……？,"무, 무슨 소리야……?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,3,この調査自体がスイ･ニンへのAQテストなんだ。,이 조사 자체가 스이 닌한테 하는 AQ 테스트야.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,8,AQテスト……,AQ 테스트……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,9,スイさんが言っていたあれね……,스이 씨가 말했던 그거네……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,4,この調査自体が、祖母がスイ･ニンに仕掛けた罠なんだ。,"이 조사 자체가, 할머니가 스이 닌한테 놓은 함정이야."
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,10,祖母って、スイさんの上司でしょう？なんでそんなことを……？,"할머니라면, 스이 씨 상사잖아? 왜 그런 짓을……?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,11,……,……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,12,……まさか今回の調査自体がスイさんへのAQテストなの？,……설마 이번 조사 자체가 스이 씨한테 하는 AQ 테스트인 거야?
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,5,おそらくな。,아마도 그럴 거다.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,6,なぜAQテストのことを知っている？,왜 AQ 테스트를 알고 있어?
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,13,スイさんから聞いたの。,스이 씨한테서 들었어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,7,……,……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,14,23号さんは、そのAQテストからスイさん遠ざけるためにそんなことをしたの？,"23호 씨는, 그 AQ 테스트에서 스이 씨를 떼어놓으려고 그런 짓을 한 거야?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,8,動機はよくわからない。,동기는 잘 모르겠어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,9,そんなところだ。,대충 그런 거야.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,15,……,……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,16,23号さんはスイさんを守るために……,23호 씨는 스이 씨를 지키려고……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,17,確かにそう考えれば、今まで起こった出来事も辻褄が合うわ……,"확실히 그렇게 생각하면, 지금까지 일어난 일들도 앞뒤가 맞아……"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,18,でも、ジェイはどうしてそんなことを知ってるの……？,"근데, 제이는 그런 걸 어떻게 알아……?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,10,昨日、23号がスイ･ニンに麻酔を打とうとしたんだ。,"어제, 23호가 스이 닌한테 마취를 놓으려고 했어."
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,19,そんな……,그럴 수가……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,11,昨日の23号の様子は明らかにおかしかった。,어제 23호 모습은 확실히 이상했어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,20,もしかして、彼女何かしたの？,"혹시, 그 사람 뭔가 한 거야?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,12,彼女はスイ･ニンに麻酔を打とうとしたんだ。,그 사람은 스이 닌한테 마취를 놓으려고 했어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,13,彼女とスイ･ニンが喧嘩をしたんだ。,그 사람이랑 스이 닌이 싸운 거야.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,21,……,……
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,22,じゃ、今日の作戦に23号さんは参加しないってこと？,"그럼, 오늘 작전에 23호 씨는 참가 안 한다는 거야?"
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,14,ああ。,그래.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Branch,#Simple,15,スイ･ニンが面倒を見ている。,스이 닌이 돌보고 있어.
ac41b849ea6253607bd63fccdf073614.bundle,第五日剛出廁所,Say,リン･テイ,23,……,……
