bundle_file,node,type,role,say_index,japanese,korean
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,0,どうすっか、返事は？,"어떡하죠, 대답은요?"
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Branch,#Simple,0,ない。,없다.
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Branch,#Simple,1,何だって？,뭐라고?
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,1,えっと……人を呼びに行ったはず、っすよね？,"그, 사람 부르러 갔었던 거죠?"
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,2,俺らが起きてしばらく経ってんのに、誰も来ないからって。,"우리 깨어난 지 한참 됐는데, 아무도 안 오니까요."
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,3,それに扉がロックされてるし、俺らはここに閉じ込められてる状態っす。,"게다가 문도 잠겨 있고, 우리 지금 여기 갇힌 상태예요."
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Branch,#Simple,2,俺らはなぜここに閉じ込められたんだ？,우리가 왜 여기 갇힌 거지?
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,4,こっちが聞きたいんすよ。,그건 제가 묻고 싶은데요.
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Branch,#Simple,3,ここはどこだ？,여긴 어디지?
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,5,分かんないっす。多分北区のどこかの病院とか。,모르겠어요. 아마 북구 어딘가의 병원인가……
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,6,車事故から目覚めたらここにいたっす。,차 사고 나고 깨어나 보니 여기 있었어요.
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,7,なにも分かんないし、しかも全身が痛くて……,"아무것도 모르겠고, 게다가 온몸이 아파서……"
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,8,兄貴の方が先に起きてたみたいんだけど。,형님이 먼저 깨어 있었던 것 같은데요.
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Branch,#Simple,4,兄貴って、俺のことか？,"형님이라니, 나 말이야?"
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,9,他に誰がいるんすか？,다른 누가 있겠어요?
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,10,北区最強密輸グループのトップ、イアン･チョーの兄貴！,"북구 최강 밀수 그룹 톱, 이안 챠오 형님이잖아요!"
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,心の声,0,こいつ、口が上手いな。,"이 녀석, 말은 청산유수네."
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Branch,#Simple,5,お前、おだて上手だな。,"너, 아부 하난 잘하는구나."
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,11,そりゃもちろん！,그야 당연하죠!
scene_demo_scenes_mbu_s0_sh_walkthrough_6dfb3bdc59755e008ecd3c5f76c94225.bundle,Start,Say,ミン･ツァイ,12,兄貴の得意助手としての必須スキルっすよ。,형님 밑에서 일 잘하려면 필수 스킬이거든요.
