bundle_file,node,type,role,say_index,japanese,korean
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,0,ジェイ、工場に着いた？,"제이, 공장에 도착했어?"
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Branch,#Simple,0,はい。,네.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,1,わかった。,알았어.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Branch,#Simple,1,どうしてそれを？,그걸 어떻게?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,2,ああ、そろそろかなと思って。,"아, 슬슬 도착할 때가 됐나 싶어서."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,3,まずは契約室に行ってくれる？シュン･ゴが待ってるから。,먼저 계약실로 가줄래? 슌 고가 기다리고 있으니까.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,4,契約室にいるから来てもらっていいかな？ハン･リュウと契約した部屋ね。,계약실에 있으니까 와줄 수 있을까? 한류랑 계약했던 그 방이야.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,5,制服に着替えるのを忘れないでね。,제복으로 갈아입는 거 잊지 말고.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Branch,#Simple,2,何かあったんですか？,무슨 일 있었어요?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Branch,#Simple,3,今すぐにですか？,지금 바로요?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Branch,#Simple,4,……,……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,イー･テイ,6,じゃ、よろしく。,"그럼, 잘 부탁해."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,心の声,0,切られた……,끊겼다……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,剛到工廠啊偉打電話來聯絡,Say,心の声,1,一体何のようだ？俺の不採用を伝えるためとか？,대체 무슨 일이지? 내 채용 탈락을 알리려는 건가?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,0,ジェイ、聞こえる？,"제이, 들려?"
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,0,スイ･ニン？,스이 닌?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,1,そうだ。,맞아.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,1,聞こえる。,들려.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,2,よし。,좋아.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,3,通信機は問題ないようだな。,통신기는 문제없는 것 같군.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,2,用事は終わったのか？,볼일은 끝났나?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,4,ああ。,아.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,23,0,終わらないでしょ。レポートがあるし！それにあんたは……,안 끝나지. 보고서도 있고! 게다가 당신은……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,3,……,……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,5,私たちはもうアジトに戻っている。リュウセイも今工場へ向かった。,우리는 이미 아지트로 돌아와 있다. 류세이도 지금 공장으로 향했다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,6,そっちの状況は？,그쪽 상황은?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,4,選別組のチーフに呼び出された。,선별조 팀장한테 불려갔다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,5,制服に着替えたところだ。これから仕事をしに向かう。,제복으로 막 갈아입은 참이다. 이제부터 일하러 갈 거다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,7,了解。,알겠습니다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,8,確か今日君は配属が決まる日だったね。,확실히 오늘 네 배치가 정해지는 날이었지.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,6,そうだ。,맞습니다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,9,了解。,알겠습니다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,7,どうしてそれを？,그걸 어떻게?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,10,リン･テイから聞いた。,린 테이한테 들었다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,11,そうだな……,그러게……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,12,配属された組によって、調査の仕方が変わってくるはずだ。,"배치된 조에 따라, 조사 방식이 달라질 거다."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,8,どっちの組を選んだ方が調査しやすいとかあるのか？,어느 조를 선택하는 게 조사하기 쉽다든가 하는 게 있나?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,13,いや、どっちでも大丈夫。,"아니, 어느 쪽이든 괜찮다."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,14,それに、この件が終わっても君は引き続きサイレントで働くわけだし、自分で判断すべきだ。,"게다가, 이 일이 끝나도 너는 계속 사일런트에서 일할 거고, 스스로 판단해야 한다."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,9,わかった。,알았어.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,10,……,……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,15,ではまた後で連絡する。私は他の任務があるから少し席を外す。,그럼 나중에 다시 연락하지. 나는 다른 임무가 있으니까 잠깐 자리를 비운다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,16,23号はアジトにいるから、連絡は取れるはずだ。,"23호는 아지트에 있으니까, 연락은 가능할 거다."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,23,1,おトイレの時はミュートするし、返事もしないからね。,"화장실 갈 땐 음소거할 거고, 대답도 안 할 거니까."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,11,俺がトイレに行くときは？,내가 화장실 갈 때는?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,23,2,ハハハ！こっちがちゃんとミュートするからご心配なく！,하하하! 이쪽에서 제대로 음소거할 테니까 걱정 마!
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,心の声,0,そうだな……,그러게……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Branch,#Simple,12,……,……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,17,リュウセイがサイレントに着いたら、彼から連絡がくるはずだ。,"류세이가 사일런트에 도착하면, 그쪽에서 연락이 올 거다."
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,18,彼が来たら作戦を開始してくれ。,그가 오면 작전을 개시해줘.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,換完衣服司徒來了,Say,スイ･ニン,19,以上だ。,이상이다.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Say,心の声,0,かなり重々しい空気だ……,꽤 무거운 분위기네……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Say,イー･テイ,0,これから何をするか、もうわかってるよね？,"이제 뭘 할지, 이미 알고 있지?"
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Branch,#Simple,0,俺は不採用でしたか？,저 채용 안 된 건가요?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Say,イー･テイ,1,そんなことないよ！どうしてそう思ったの！？,그런 거 아니야! 왜 그렇게 생각한 거야!?
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Branch,#Simple,1,重々しい空気だったので……,분위기가 너무 무거워서요……
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Say,イー･テイ,2,えっ、そうかな……,"어, 그런가……"
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Say,イー･テイ,3,とりあえず不採用じゃないよ。,일단 불합격은 아니야.
scene_day3_scenes_fab_day3_logic_6346ee10c065ccc051a489a1ecff7695.bundle,簽約室定操作還篩選,Branch,#Simple,2,冗談を言ってみただけです。,그냥 농담해본 거예요.
