bundle_file,node,type,role,say_index,japanese,korean
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,0,あっ、ジェイさん、起きたっすか？調子はどうです？,"아, 제이 씨, 일어나셨어요? 컨디션은 어때요?"
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Branch,#Simple,0,どうしてここに？,여기 왜 있어?
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,1,スイ姉の命令っす。僕が緊急時に対応できるからって。,스이 누나 명령이에요. 제가 긴급 상황에 대응할 수 있다고요.
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Branch,#Simple,1,それは頼もしいな。,그거 든든하네.
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,2,任せてくださいっす！,맡겨만 주세요!
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,3,あれ、もしかて今の皮肉じゃないっすよね……？,"어라, 혹시 지금 그거 비꼰 거 아니죠……?"
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Branch,#Simple,2,そんなわけないだろ。,그럴 리가 없잖아.
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,4,ならよかったっす！,그럼 다행이에요!
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,5,今のも皮肉じゃないっすよね……？,지금 것도 비꼰 거 아니죠……?
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Branch,#Simple,3,正解だ。,정답이다.
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,6,そうっすか……,그렇군요……
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Branch,#Simple,4,そんなわけないだろ。,그럴 리가 없잖아.
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Say,リュウセイ･チョウ,7,ならよかったっす！,그럼 다행이에요!
c4f0ca6f4417db6f22428c1b717f0ae1.bundle,到客廳遇張隆生,Branch,#Simple,5,そうか。ありがとう。,그래. 고맙다.
