bundle_file,node,type,role,say_index,japanese,korean
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,0,手伝ってほしい？,도와줬으면 좋겠다고?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,0,はい。,네.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,1,……,……
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,2,気が変わりました。誰にも言うつもりはありません。,마음이 바뀌었습니다. 아무한테도 말할 생각 없습니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,1,ありがとうございます。,감사합니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,3,……,……
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,2,しかしまずは、誰にも他言しないと約束してください。,"근데 우선, 아무한테도 말 안 하겠다고 약속해주세요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,4,約束します。,약속하겠습니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,3,ありがとうございます。,감사합니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,5,仕事の話じゃないんですか？,일 얘기 아니에요?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,4,仕事の話です。,일 얘기입니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,5,それで、約束してくれますか？,"그래서, 약속해주시겠어요?"
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,6,わかりました。他言しません。,알겠습니다. 말 안 하겠습니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,6,ありがとうございます。,감사합니다.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,7,なぜ誰にも他言してはいけないんですか？,왜 아무한테도 말하면 안 되는 거예요?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,7,先に約束をしてくれなければ、その説明もできないのです。,"먼저 약속해주지 않으면, 그 설명도 할 수 없어요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,8,どうしますか？,어떻게 하시겠어요?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,8,つまり、私は内容を聞かされていないにも関わらず、秘密を守ることを約束しないといけないのですか？,"즉, 저는 내용도 안 들은 상태에서, 비밀을 지키겠다고 약속해야 하는 건가요?"
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,9,はい。ですが、僕が悪事を働いたから秘密にしてほしいわけではありません。,"네. 근데, 제가 나쁜 짓을 저질러서 비밀로 해달라는 게 아니에요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,10,そしてあなたがこの件を秘密にしたことで、負う責任はありません。,"그리고 당신이 이 건을 비밀로 했다고 해서, 지게 될 책임도 없어요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,11,どうですか？,어떠세요?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,9,すみませんが、そういうことには首を突っ込みたくないです。,"죄송하지만, 그런 일에는 끼고 싶지 않습니다."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,12,わかりました。気が変わったらまた声をかけてください。,알겠습니다. 마음이 바뀌면 다시 말 걸어주세요.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,13,今日の面談に、お年寄りの方がいたのを覚えてますか？,"오늘 면담에, 나이 드신 분 계셨던 거 기억나세요?"
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,10,確か、シンレイ･トンさんですね。,"그, 신레이 통 씨 말이죠."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,14,そうです。,맞아요.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,11,どうしてそれを？,왜 그걸 물으시는 거예요?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,15,ばあさんから聞いたんです。,할머니한테서 들었어요.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,16,私は今、トンさんがどうやって面談までパスできたのかを調べています。,"저는 지금, 통 씨가 어떻게 면담까지 통과할 수 있었는지 조사하고 있어요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,17,おそらく会社内部の誰かが、トンさんの健康診断書を偽造し、パスさせたのだと思います。,"아마 회사 내부의 누군가가, 통 씨의 건강검진 서류를 위조해서, 통과시킨 거라고 생각해요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,18,そしてトンさんはそれと引き換えに、その人にお金を支払う約束をしていた可能性があります。,"그리고 통 씨는 그 대가로, 그 사람한테 돈을 지불하기로 약속했을 가능성이 있어요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,心の声,0,ここへ来る人は皆、お金に困っているのに支払えるのか……？,"여기 오는 사람은 다들, 돈이 궁한데 지불할 수 있는 건가……?"
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,12,待ってください。演算力供給に来る人は皆、お金に困っているはずでは？,"잠깐만요. 연산력 공급하러 오는 사람은 다들, 돈이 궁할 텐데요?"
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,19,契約後はすぐ契約金が支払われるため、演算力供給を行うまでに支払う手筈になっているのでしょう。,"계약 후에는 바로 계약금이 지급되니까, 연산력 공급을 하기 전까지 지불하는 방식이었겠죠."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,20,契約の時に聞かされましたよね？,계약할 때 들으셨잖아요?
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,心の声,1,確かに……,확실히……
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Branch,#Simple,13,……,……
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,21,……,……
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,22,ジェイ。,제이.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,23,ばあさんは今回の件をかなり重く見ています。,할머니는 이번 건을 상당히 심각하게 보고 있어요.
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,24,このままでは健康診断をクリアしていない人が、どんどんセラーに送られる可能性があります。,"이대로면 건강검진을 통과하지 못한 사람이, 계속 셀러로 보내질 가능성이 있어요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,25,そういった人たちは生涯後遺症に苦しみ続けたり、最悪の場合死んでしまう可能性が高いです。,"그런 사람들은 평생 후유증에 시달리거나, 최악의 경우 죽어버릴 가능성이 높아요."
16cb18d2a2b26981a5a165feae2e28bb.bundle,跟穩哥展開調查,Say,タイミン･ソウ,26,今日のトンさんのような事例は絶対に阻止しなくてはなりません。,오늘 통 씨 같은 사례는 반드시 막아야 해요.
