bundle_file,node,type,role,say_index,japanese,korean
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,0,23姉たちに連絡したっす……,23 누나한테 연락했어요……
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リン･テイ,0,彼女たちは大丈夫なのか？,그 사람들 괜찮은 거야?
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,1,まだホワイトリザードを追ってるみたいっす。,아직 화이트 리자드를 쫓고 있는 것 같아요.
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,2,スイ姉はすでにフクロウの本隊と合流して、包囲網を展開してるみたいっす。,"스이 누나는 이미 부엉이 본대랑 합류해서, 포위망을 펼치고 있는 것 같아요."
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,3,これでホワイトリザードは逃げられないはずっす！,이러면 화이트 리자드도 못 도망갈 거예요!
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,4,やっとリンさんの仇が取れるっすね！,드디어 린 씨의 원수를 갚을 수 있겠네요!
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リン･テイ,1,うん……,응……
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,5,もう23姉は戻って来てるみたいっすよ。,23 누나는 벌써 돌아오고 있는 것 같아요.
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Branch,#Simple,0,スイ･ニン一人で大丈夫なのか？,스이 닌 혼자서 괜찮은 거야?
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Say,リュウセイ･チョウ,6,他のエージェントもいるっすから、心配ないっすよ。,"다른 요원들도 있으니까, 걱정 없어요."
c93dee5141b63d08d3d8b0514cdfd4fb.bundle,回到司徒基地,Branch,#Simple,1,後どれくらいで着く？,얼마나 더 있어야 도착해?
