bundle_file,node,type,role,say_index,japanese,korean
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,0,お願いだ！,제발 부탁이야!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,1,もう愚痴を言うのはやめてくれ……,이제 그만 좀 투덜대……
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,0,私のせい？あんたの腕が落ちたのが悪いんでしょ！,내 탓이라고? 당신 실력이 떨어진 게 잘못이잖아!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,心の声,0,ん？大将が戻ったのか？,응? 사장님이 돌아온 건가?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,心の声,1,そういえば、しばらく顔を見てなかったな。,"그러고 보니, 한동안 얼굴 못 봤었지."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,2,思い出す時間が必要なだけだ。,그냥 생각할 시간이 필요했던 것뿐이야.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,1,そんなの……,그런 게……
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,2,あんたがいつも店を空けてるからでしょう！,당신이 맨날 가게를 비우니까 그렇지!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,3,あら？ジェイさん！,어라? 제이 씨!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,4,もうご飯は食べました？,밥은 드셨어요?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Branch,#Simple,0,こんばんは。,안녕하세요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,5,こんばんは。,안녕하세요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Branch,#Simple,1,これから仕事なんです。,지금부터 일하러 가요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Branch,#Simple,2,もう食べました。,이미 먹었어요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,6,あら、そうですか。,"아, 그러세요."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,3,もう解放してあげなさい。,이제 그만 놔줘라.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,7,何よ！常連さんだから話かけただけよ！,뭐야! 단골이니까 말 붙인 것뿐이잖아!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,8,あ、ジェイさん。こちらは私の夫、フウコ･チョーです。,"아, 제이 씨. 이쪽은 제 남편, 후코 챠오예요."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,4,俺を紹介してどうするんだ？,날 왜 소개하는 거야?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,9,あんたはいつも無愛想すぎるのよ。挨拶くらいしなさい。,당신은 맨날 너무 무뚝뚝하다니까. 인사 정도는 해.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,5,……,……
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,6,4卓、麺がまだだろ。,"4번 테이블, 면 아직이잖아."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,10,はいはい。,네네.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,ミン･ツァイ,0,いい。4卓には俺が出す。,됐어요. 4번 테이블은 제가 낼게요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,7,お前はもう退勤時間だろ。食ったらさっさと帰んな。,너 이제 퇴근 시간이잖아. 먹었으면 얼른 가라.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,11,ちょっと、ミンに当たらないでよ！,"잠깐, 밍한테 화풀이하지 마!"
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,8,フンッ。,흥.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,12,ジェイさんも、仕事頑張ってくださいね。,"제이 씨도, 일 힘내세요."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Branch,#Simple,3,はい、ありがとうございます。,"네, 감사합니다."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Branch,#Simple,4,また食べに来ます。,또 먹으러 올게요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,13,あら、ご丁寧にありがとう。,"어머, 예의 바르게 고마워요."
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,14,うちの夫とは大違いね。,우리 남편이랑은 완전 다르네.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,イアン･チョー,9,何だって！,뭐라고!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Say,シュウリン･キュウ,15,それじゃ、またね！,"그럼, 또 봐요!"
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第三日_老張登場爭吵,Branch,#Simple,5,……,……
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Say,ケンホ･チョウ,0,すみません！,저기요!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Say,ケンホ･チョウ,1,ちょっと手伝ってもらえませんか？,잠깐 좀 도와주실 수 있어요?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Branch,#Simple,0,何をだ？,뭘?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Branch,#Simple,1,なぜ俺に？,왜 나한테?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Say,ケンホ･チョウ,2,人が良さそうだからだよ！,사람 좋아 보여서요!
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Branch,#Simple,2,ああ。,그래.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Say,ケンホ･チョウ,3,バイクの後ろから煙りが出てないかを見てくれる？,오토바이 뒤에서 연기 나는지 좀 봐줄래요?
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Say,ケンホ･チョウ,4,ちょっと変なんだよね。,좀 이상해서요.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Branch,#Simple,3,わかった。,알았어.
scene_sv_scenes_mbu_s1_sv_logic_c211782c0a3a66a35be6aceaf340b94e.bundle,第二日_修車,Say,ケンホ･チョウ,5,ありがとう！一人じゃ見れないからさ。,고마워요! 혼자서는 못 보니까요.
