bundle_file,node,type,role,say_index,japanese,korean
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,0,今日はうちの奢りだから、リュウセイ、好きなものを頼みなさい。,"오늘은 내가 쏘는 거니까, 류세이, 좋아하는 거 시켜."
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,リュウセイ･チョウ,0,え、僕？,"네, 저요?"
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,1,そう、あんたのセンスを見せてもらうわ。,"그래, 네 센스를 좀 보자."
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,2,ジェイは嫌いなものある？,제이는 싫어하는 거 있어?
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,0,いや、なんでも食べる。,"아니, 뭐든지 먹어."
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,リュウセイ･チョウ,1,オッケー。,오케이.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,1,生ものは食べない。,날것은 안 먹어.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,リュウセイ･チョウ,2,ラジャー！,라저!
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,3,頼んだぞ、リュウセイ。,"부탁한다, 류세이."
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,リュウセイ･チョウ,3,うっす！,네!
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,4,……,……
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,5,今日のスパイ体験はどうだった？,오늘 스파이 체험은 어땠어?
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,2,映画みたいで格好良かった。,영화 같아서 멋있었어.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,6,ハハ、それ本心？それとも皮肉？,"하하, 그거 진심이야? 아니면 비꼬는 거야?"
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,3,本心だ。,진심이야.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,7,それはいいね！,그거 좋네!
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,4,皮肉だ。,비꼰 거야.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,8,ハハハ！そうよね。,하하하! 그렇겠지.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,5,……,……
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,6,面倒くさかった。,귀찮았어.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,9,ハハハ！,하하하!
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,10,たまにスイみたいなことを言うよね。,가끔 스이 같은 소리 하네.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,7,そんなにスパイみたいなことしてたか？,그렇게 스파이 같은 짓을 했었나?
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,23,11,ハハハ！まあ、スパイっぽいことと言うべきかな。,"하하하! 뭐, 스파이 같은 짓이라고 해야 하려나."
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Branch,#Simple,8,……,……
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,心の声,0,彼女との距離が縮まった気がする。,그 여자랑 거리가 가까워진 것 같다.
ea5a2e5b016740416bde3a3456c70e76.bundle,熱炒店聊天,Say,心の声,1,アジトにいた時はかなりひねくれていたのに……,아지트에 있을 때는 꽤 삐딱했었는데……
