bundle_file,node,type,role,say_index,japanese,korean
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,リュウセイ･チョウ,0,本当に無事なんすよ！,진짜 멀쩡하다니까요!
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,リュウセイ･チョウ,1,ジェイさん！おはようっす！,제이 형! 좋은 아침이에요!
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,心の声,0,リュウセイ？昨日大怪我をしたはずじゃ？,류세이? 어제 크게 다쳤을 텐데?
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Branch,#Simple,0,昨日、刺されたはずだよな？,"어제, 칼에 찔렸었잖아?"
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,リュウセイ･チョウ,2,こんなのどうってことないっすよ。,이 정도는 아무것도 아니에요.
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Branch,#Simple,1,よっ。,어이.
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,リュウセイ･チョウ,3,ハハッ、よっ！,"하핫, 여어!"
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,シンホン･ゴ,0,何が「よっ」だよ！,뭐가 「여어」야!
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,シンホン･ゴ,1,大丈夫ならいいが、あれは大出血だったぞ！,"괜찮으면 다행이지만, 그거 출혈이 엄청났었다고!"
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,リュウセイ･チョウ,4,普段から身体を鍛えてるっす！,평소에 몸을 단련해놨거든요!
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,タイミン･ソウ,0,本人が大丈夫だと言ってるなら、それでいいですよ……,"본인이 괜찮다고 하면, 그걸로 됐죠 뭐……"
d30c62acdc62c5c962b5117bd28fb80c.bundle,第二天工廠晉篩選組辦公室,Say,リュウセイ･チョウ,5,さすがタイミンの兄貴！,역시 타이밍 형님!
