bundle_file,node,type,role,say_index,japanese,korean
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,0,私は不必要な干渉はしない主義だ。,나는 불필요한 간섭은 하지 않는 주의다.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,1,だから、いつもこのタイミングしか姿を表さないと決めている。,그래서 항상 이 순간에만 모습을 드러내기로 정해두었지.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,2,………,………
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,3,期待通りに動いてくれたな。,기대한 대로 움직여주었군.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,0,そうか。,그런가.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,1,お前は一体何者だ？,넌 대체 뭐냐?
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,2,いい加減にしろ！お前は一体何者なんだ！,적당히 해! 넌 대체 정체가 뭐야!
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,3,どうなってるんだ？,대체 어떻게 된 거야?
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,4,あなたは自分の意志を証明した。,당신은 스스로의 의지를 증명했다.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,4,意味がわからない。,무슨 뜻인지 모르겠는데.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,5,どういうことだ？,그게 무슨 소리야?
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,6,……,……
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,5,あなたの無数の選択により……,당신의 수많은 선택으로 인해……
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,6,「あなた」という存在を証明した。,'당신'이라는 존재를 증명해냈다.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,7,偶然に非ず、錯覚に非ず、そして私の造物ではないことを証明した。,"우연도, 착각도 아니며, 나의 창조물도 아니라는 것을 증명했지."
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,8,あなたにとってはどうでもいいことかもしれないが、私にとっては大事なことだ。,"당신에게는 아무래도 상관없는 일일지 모르지만, 나에게는 중요한 일이다."
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,9,では、最後に問おう。,"그럼, 마지막으로 묻겠다."
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,10,あなたは、自分自身を何だと思っている？,당신은 스스로를 무엇이라 생각하지?
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,7,MBUだ。,MBU다.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,11,それは「ガワ」であって、本質ではない。,"그건 '껍데기'일 뿐, 본질이 아니다."
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,8,一人のプレイヤーだ。,한 명의 플레이어다.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,12,つまり、あなたにとってこれはただのゲームか。,"즉, 당신에게 이건 그저 게임이라는 건가."
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,13,それもいいだろう……,그것도 나쁘지 않지……
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Say,「異常」,14,あなたがゲームを楽しめたのなら幸いだ。,당신이 게임을 즐겼다면 다행이군.
scene_finalerrortalk_scenes_all_08f3f0c373758b208d1d446a3d2309d3.bundle,Start,Branch,#Simple,9,人間だ。,인간이다.
