bundle_file,node,type,role,say_index,japanese,korean
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,0,どうも、ジェイさん。,"안녕하세요, 제이 씨."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,心の声,0,また彼か……,또 이 녀석인가……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,心の声,1,スイ･ニンたちは問題ないって言ってたが……,수이 닝네는 문제없다고 했지만……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,心の声,2,本当に大丈夫なのか……？,정말로 괜찮은 건가……?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,0,よっ。,어이.
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,1,あんたとは、毎日のように会うな。,"너랑은, 매일같이 마주치네."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,1,あ、確かにそうですね。ハハハ……,"아, 확실히 그러네요. 하하하……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,心の声,3,何だその反応は……？,그 반응은 뭐야……?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,2,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,2,えっと……,"그, 그게……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,3,なんかあったのか？,무슨 일 있었냐?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,3,いや、ただ……,"아뇨, 그냥……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,4,用がないなら先に行くぞ。,볼일 없으면 먼저 간다.
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,4,ちょ、ちょっと待ってください……,"자, 잠깐만 기다려주세요……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,5,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,5,昨日、オペレーションコアの前で会いましたよね……,"어제, 오퍼레이션 코어 앞에서 만났었잖아요……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,6,あのマネージャーさんとコアから出る前に、何かありましたか？,"그 매니저님이랑 코어에서 나오기 전에, 무슨 일 있었나요?"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,6,特に何も。仕事を終わらせて、そのまま帰った。,"딱히 없었다. 일 끝내고, 그대로 돌아갔어."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,7,そうですか……,그런가요……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,7,どういう意味だ？,그게 무슨 뜻이야?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,8,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,8,実は今日、情報セキュリティー部から昨日のことを聞かれたんですよ。,"실은 오늘, 정보 보안부에서 어제 일에 대해서 질문을 받았거든요."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,9,それでオペレーションコアであなたと会ったことを話すべきかなと思って……,그래서 오퍼레이션 코어에서 당신을 만났던 걸 말해야 하나 싶어서……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,10,情報セキュリティー部ですし、何か重要な調査かなと……,"정보 보안부니까, 뭔가 중요한 조사인가 싶어서……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,9,俺と会ったことを言ったのか？,나랑 만났다고 말한 거야?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,11,はい……,네……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,10,なぜそんなことを聞かれたんだ？,왜 그런 걸 질문받은 거지?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,12,理由はわかりませんが、ただ見たことをそのまま言えって言われました。,"이유는 모르겠지만, 그냥 본 걸 그대로 말하라고 했어요."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,11,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,13,私は昨日のことを彼らに正直に言いましたが……,저는 어제 있었던 일을 그들한테 솔직하게 말했지만……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,14,ジェ、ジェイさんたちは別に悪いことをしてないですもんね！,"제, 제이 씨네는 딱히 나쁜 짓 한 것도 아니잖아요!"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,15,それでも、ジェイさんにこのことを伝えた方がいいと思ったんです。,"그래도, 제이 씨한테 이 일을 알리는 게 좋겠다고 생각했어요."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,16,迷惑だったら、すみません……,"폐가 됐다면, 죄송해요……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,12,あんたは本当のことを言っただけだ。気にするな。,너는 사실대로 말한 것뿐이다. 신경 쓰지 마.
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,17,は、はい。,"네, 네."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,13,俺は何も悪いことはしていないから、大丈夫だ。,"나는 아무 나쁜 짓도 안 했으니까, 괜찮다."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,18,そ、そうですよね。,"그, 그렇죠."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,14,困ったことをしてくれたな。,곤란한 짓을 해줬군.
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,19,ということは……,그렇다는 건……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,20,本当に何かしたんですか……？,정말로 뭔가 하신 건가요……?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,心の声,4,しまった……,이런……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,15,いや、ただあんたのせいで俺に疑いをかけられるのが嫌なだけだ。,"아니, 그냥 너 때문에 나한테 의심이 쏠리는 게 싫은 것뿐이다."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,21,す、すみません……,"죄, 죄송해요……"
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,22,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,16,あなたには関係のないことだ。,너랑은 상관없는 일이다.
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,23,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,17,……,……
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,24,私は仕事がありますので、これで失礼します。,"저는 할 일이 있어서, 이만 실례하겠습니다."
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,18,ああ。,그래.
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Branch,#Simple,19,待った。あんたにこの件を聞いてきた人の名前は？,잠깐. 너한테 이 건을 물어본 사람 이름은?
d0e81a4acd55cfac60c2aa1bec155c08.bundle,蕭勇明搭話,Say,ユウ･ショウ,25,し、知りません……,"모, 몰라요……"
